49ers,charlotte 49ers,,,,,,,,,,,,
a&m,alabama a&m bulldogs,texas a&m aggies,,,,,,,,,,,
abilene christian,abilene christian wildcats,,,,,,,,,,,,
aggies,new mexico state aggies,north carolina a&t aggies,texas a&m aggies,uc davis aggies,utah state aggies,,,,,,,,
jayhawks,kansas jayhawks,,,,,,,,,,,,
jmu,james madison dukes,,,,,,,,,,,,
kansas,kansas jayhawks,,,,,,,,,,,,
kansas jayhawks,kansas jayhawks,,,,,,,,,,,,
kansas state,kansas state wildcats,,,,,,,,,,,,
kansas state wildcats,kansas state wildcats,,,,,,,,,,,,
kennesaw state,kennesaw state owls,,,,,,,,,,,,
kennesaw state owls,kennesaw state owls,,,,,,,,,,,,
kent state,kent state golden flashes,,,,,,,,,,,,
kent state golden flashes,kent state golden flashes,,,,,,,,,,,,
kentucky,kentucky wildcats,,,,,,,,,,,,
kentucky wildcats,kentucky wildcats,,,,,,,,,,,,
kenyon,kenyon lords,,,,,,,,,,,,
kenyon lords,kenyon lords,,,,,,,,,,,,
keydets,vmi keydets,,,,,,,,,,,,
knights,marian knights,rutgers scarlet knights,ucf knights,,,,,,,,,,
ksu,kansas state wildcats,,,,,,,,,,,,
ku,kansas jayhawks,kentucky wildcats,,,,,,,,,,,
kutztown,kutztown golden bears,,,,,,,,,,,,
kutztown golden bears,kutztown golden bears,,,,,,,,,,,,
lafayette,lafayette leopards,,,,,,,,,,,,
lafayette leopards,lafayette leopards,,,,,,,,,,,,
lakers,grand valley state lakers,,,,,,,,,,,,
lamar,lamar cardinals,,,,,,,,,,,,
lamar cardinals,lamar cardinals,,,,,,,,,,,,
laval,laval rouge et or,,,,,,,,,,,,
laval rouge et or,laval rouge et or,,,,,,,,,,,,
leathernecks,western illinois leathernecks,,,,,,,,,,,,
lehigh,lehigh mountain hawks,,,,,,,,,,,,
lehigh mountain hawks,lehigh mountain hawks,,,,,,,,,,,,
leopards,lafayette leopards,,,,,,,,,,,,
liberty,liberty flames,,,,,,,,,,,,
liberty flames,liberty flames,,,,,,,,,,,,
limestone,limestone saints,illinois fighting illini,indiana hoosiers,iowa hawkeyes,,,,,,,,,
limestone saints,limestone saints,,,,,,,,,,,,
lindenwood,lindenwood lions,,,,,,,,,,,,
lindenwood lions,lindenwood lions,,,,,,,,,,,,
lions,columbia lions,lindenwood lions,north alabama lions,penn state nittany lions,southeastern louisiana lions,texas a&m-commerce lions,,,,,,,
little giants,wabash little giants,,,,,,,,,,,,
lobos,new mexico lobos,,,,,,,,,,,,
longhorns,texas longhorns,,,,,,,,,,,,
lords,kenyon lords,,,,,,,,,,,,
louisiana monroe,louisiana monroe warhawks,,,,,,,,,,,,
louisiana monroe warhawks,louisiana monroe warhawks,,,,,,,,,,,,
louisiana tech,louisiana tech bulldogs,,,,,,,,,,,,
louisiana tech bulldogs,louisiana tech bulldogs,,,,,,,,,,,,
louisiana-lafayette ragin' cajuns,louisiana ragin' cajuns,,,,,,,,,,,,
louisville,louisville cardinals,,,,,,,,,,,,
louisville cardinals,louisville cardinals,,,,,,,,,,,,
lsu,lsu tigers,,,,,,,,,,,,
lsu tigers,lsu tigers,,,,,,,,,,,,
lumberjacks,northern arizona lumberjacks,stephen f. austin lumberjacks,,,,,,,,,,,
maine,maine black bears,,,,,,,,,,,,
maine black bears,maine black bears,,,,,,,,,,,,
mankato,msu-mankato mavericks,,,,,,,,,,,,
marauders,mcmaster marauders,,,,,,,,,,,,
marian,marian knights,,,,,,,,,,,,
marian knights,marian knights,,,,,,,,,,,,
marist,marist red foxes,,,,,,,,,,,,
marist red foxes,marist red foxes,,,,,,,,,,,,
marshall,marshall thundering herd,,,,,,,,,,,,
marshall thundering herd,marshall thundering herd,,,,,,,,,,,,
mary hardin-baylor,mary hardin-baylor crusaders,,,,,,,,,,,,
mary hardin-baylor crusaders,mary hardin-baylor crusaders,,,,,,,,,,,,
maryland,maryland terrapins,,,,,,,,,,,,
maryland terrapins,maryland terrapins,,,,,,,,,,,,
mass,umass minutemen,,,,,,,,,,,,
massachusetts,umass minutemen,,,,,,,,,,,,
mavericks,msu-mankato mavericks,,,,,,,,,,,,
mcgill redmen,mcgill redmen,,,,,,,,,,,,
mcgill university redmen,mcgill redmen,,,,,,,,,,,,
mcmaster,mcmaster marauders,,,,,,,,,,,,
mcmaster marauders,mcmaster marauders,,,,,,,,,,,,
mcneese,mcneese cowboys,,,,,,,,,,,,
mcneese cowboys,mcneese cowboys,,,,,,,,,,,,
mean green,north texas mean green,,,,,,,,,,,,
memphis,memphis tigers,,,,,,,,,,,,
memphis tigers,memphis tigers,,,,,,,,,,,,
mercer,mercer bears,,,,,,,,,,,,
mercer bears,mercer bears,,,,,,,,,,,,
